"location","latitude","longitude"
"US+Greensboro",36.07665,-79.82014
"US+Harrisburg",40.28549,-76.8139
"US+Hartford Springfield",39.95786,-83.79498
"US+Helena",34.70804,-83.73443
"US+Honolulu",21.31158,-157.83411
"US+Houston",29.77448,-95.39835
"US+Huntsville",34.72043,-86.5947
"US+Indianapolis",39.80195,-86.11364
"US+Jackson",42.8634,-73.75427
"US+Jacksonville",30.30561,-81.64367
"US+Juneau",58.35487,-134.53741
"US+Kansas City",39.09407,-94.5864
"US+Knoxville",35.96464,-83.97748
"US+Lake Charles",30.21497,-93.20739
"US+Lansing",42.72926,-84.6044
"US+Las Vegas",36.18211,-115.17404
"US+Lexington",33.96155,-81.23917
"US+Lincoln",40.80185,-96.67062
"US+Little Rock",34.71995,-92.36559
"US+Los Angeles",34.04015,-118.29757
"US+Louisville",38.19551,-85.70117
"US+Lubbock",33.55289,-101.89684
"US+Macon",32.74321,-83.6694
"US+Madison",43.07026,-89.39598
"US+Medford",42.33743,-122.86665
"US+Memphis",35.11777,-89.93794
"US+Miami Beach",25.82084,-80.12827
"US+Midland Odessa",31.83369,-102.35763
"US+Milwaukee",43.05251,-87.95963
"US+Minneapolis St. Paul",45.07204,-93.34503
"US+Mobile",30.67162,-88.1517
"US+Montgomery",32.35083,-86.24848
"US+Nashville",36.14014,-86.78389
"US+New Orleans",29.94928,-90.13426
"US+New York City",40.74823,-73.98583
"US+Newark",53.08138,-0.79947
"US+Norfolk",36.88942,-76.25394
"US+North Platte",41.12959,-100.77759
"US+Oklahoma City",35.50216,-97.5091
"US+Omaha",41.24042,-96.05057
"US+Orlando",28.5175,-81.35939
"US+Paducah",37.0502,-88.63868
"US+Peoria",40.72277,-89.62156
"US+Philadelphia",-33.66663,18.58099
"US+Phoenix",33.53271,-112.08976
"US+Pittsburgh",37.41924,-94.71301
"US+Pocatello",42.88634,-112.44718
"US+Portland",41.65975,-87.68112
"US+Pueblo",38.26535,-104.62597
"US+Raleigh Durham",35.93513,-78.81337
"US+Rapid City",44.06757,-103.24255
"US+Reno",39.52082,-119.81792
"US+Rhode Island",31.80655,-96.25333
"US+Richmond",37.52163,-77.48086
"US+Roanoke",37.2759,-79.96624
"US+Rochester",43.16732,-77.61429
"US+Rockford",43.11919,-85.51926
"US+Sacramento",38.54381,-121.44354
"US+Salem",37.28983,-80.07228
"US+Salt Lake City",40.75186,-111.8827
"US+San Angelo",31.45655,-100.45552
"US+San Antonio",37.38985,-106.24189
"US+San Diego",32.80822,-117.12898
"US+San Francisco",9.9417,-84.0728
"US+San Juan Puerto Rico",18.42473,-66.07465
"US+Sault Ste Marie",46.56079,-84.33476
"US+Savannah",32.03334,-81.11189
"US+Seattle",47.62405,-122.33279
"US+Shreveport",32.54637,-93.82211
"US+Sioux City",42.50154,-96.39086
"US+Sioux Falls",43.52894,-96.73692
"US+South Bend",0,0
"US+Spokane",0,0
"US+Springfield",0,0
"US+St Louis",0,0
"US+Syracuse",0,0
"US+Tallahassee",0,0
"US+Tampa St. Petersburg",0,0
"US+Toledo",0,0
"US+Topeka",0,0
"US+Tucson",0,0
"US+Tulsa",0,0
"US+Tupelo",0,0
"US+Waco",0,0
"US+Washington",0,0
"US+Washington DC",0,0
"US+West Palm Beach",0,0
"US+Wichita",0,0
"US+Wichita Falls",0,0
"US+Wilkes Barre",0,0
"US+Wilmington",0,0
"US+Yakima",0,0
"US+Youngstown",0,0
"US+Yuma",0,0
"Uzbekistan+Tashkent",0,0
"Venezuela+Caracas",0,0
"Vietnam+Hanoi",0,0
"Yugoslavia+Belgrade",0,0
"Zambia+Lusaka",0,0
